Name,Team_to,League_to,Season,Transfer_fee
Wilfried Zaha,Man Utd,Premier League,2012-2013,11750000
Victor Moses,Chelsea,Premier League,2012-2013,11500000
Sebastian Giovinco,Juventus,Serie A,2012-2013,11000000
Fredy Guarín,Inter,Serie A,2012-2013,11000000
Manolo Gabbiadini,Juventus,Serie A,2012-2013,11000000
Mateo Kovacic,Inter,Serie A,2012-2013,11000000
Loïc Rémy,QPR,Premier League,2012-2013,10500000
Rodrigo Palacio,Inter,Serie A,2012-2013,10500000
Álvaro Pereira,Inter,Serie A,2012-2013,10000000
Giuseppe Rossi,Fiorentina,Serie A,2012-2013,10000000
Marvin Martin,LOSC Lille,Ligue 1,2012-2013,10000000
Gylfi Sigurdsson,Spurs,Premier League,2012-2013,10000000
Nacho Monreal,Arsenal,Premier League,2012-2013,10000000
Matt Jarvis,West Ham,Premier League,2012-2013,9500000
César Azpilicueta,Chelsea,Premier League,2012-2013,8800000
Christian Benteke,Aston Villa,Premier League,2012-2013,8800000
Jay Rodríguez,Southampton,Premier League,2012-2013,8650000
Demba Ba,Chelsea,Premier League,2012-2013,8500000
Granit Xhaka,Bor. M'gladbach,Bundesliga,2012-2013,8500000
Vurnon Anita,Newcastle,Premier League,2012-2013,8500000
Marko Marin,Chelsea,Premier League,2012-2013,8000000
Martín Cáceres,Juventus,Serie A,2012-2013,8000000
Mapou Yanga-Mbiwa,Newcastle,Premier League,2012-2013,8000000
Álvaro Domínguez,Bor. M'gladbach,Bundesliga,2012-2013,8000000
Valon Behrami,SSC Napoli,Serie A,2012-2013,8000000
Esteban Granero,QPR,Premier League,2012-2013,8000000
Ivan Perisic,VfL Wolfsburg,Bundesliga,2012-2013,8000000
Kévin Constant,AC Milan,Serie A,2012-2013,8000000
Davide Faraoni,Udinese Calcio,Serie A,2012-2013,8000000
Scott Sinclair,Man City,Premier League,2012-2013,7800000
Kevin Mirallas,Everton,Premier League,2012-2013,7650000
Clint Dempsey,Spurs,Premier League,2012-2013,7500000
Goran Pandev,SSC Napoli,Serie A,2012-2013,7500000
Sergio Canales,Valencia CF,La Liga,2012-2013,7500000
Nick Powell,Man Utd,Premier League,2012-2013,7500000
Borja Valero,Fiorentina,Serie A,2012-2013,7000000
Mattia Destro,Genoa,Serie A,2012-2013,7000000
Pablo Hernández,Swansea,Premier League,2012-2013,7000000
Bas Dost,VfL Wolfsburg,Bundesliga,2012-2013,7000000
Philipp Wollscheid,Bay. Leverkusen,Bundesliga,2012-2013,7000000
Sung-yong Ki,Swansea,Premier League,2012-2013,7000000
Alessio Cerci,Torino,Serie A,2012-2013,6750000
Alberto Paloschi,Chievo Verona,Serie A,2012-2013,6500000
Emmanuel Adebayor,Spurs,Premier League,2012-2013,6400000
Mathieu Debuchy,Newcastle,Premier League,2012-2013,6200000
Charlie Adam,Stoke City,Premier League,2012-2013,6200000
Gregory van der Wiel,Paris SG,Ligue 1,2012-2013,6000000
Stéphane Mbia,QPR,Premier League,2012-2013,6000000
Aly Cissokho,Valencia CF,La Liga,2012-2013,6000000
Iván Ramis,Wigan,Premier League,2012-2013,6000000
Modibo Maïga,West Ham,Premier League,2012-2013,6000000
Joselu,TSG Hoffenheim,Bundesliga,2012-2013,6000000
Danny Graham,Sunderland,Premier League,2012-2013,5800000
Steven Pienaar,Everton,Premier League,2012-2013,5750000
Marquinhos,AS Roma,Serie A,2012-2013,5700000
Julian Schieber,Bor. Dortmund,Bundesliga,2012-2013,5500000
Eren Derdiyok,TSG Hoffenheim,Bundesliga,2012-2013,5500000
Eljero Elia,Werder Bremen,Bundesliga,2012-2013,5500000
Ángelo Henríquez,Man Utd,Premier League,2012-2013,5500000
Wallace Oliveira,Chelsea,Premier League,2012-2013,5400000
Ezequiel Schelotto,Inter,Serie A,2012-2013,5300000
Maicosuel,Udinese Calcio,Serie A,2012-2013,5300000
Marko Livaja,Atalanta,Serie A,2012-2013,5050000
Dimitar Berbatov,Fulham,Premier League,2012-2013,5000000
Antonio Cassano,Inter,Serie A,2012-2013,5000000
Youssef El Arabi,Granada CF,La Liga,2012-2013,5000000
Germán Denis,Atalanta,Serie A,2012-2013,5000000
Alain Traoré,FC Lorient,Ligue 1,2012-2013,5000000
Ben Foster,West Brom,Premier League,2012-2013,5000000
Daniel Congré,Montpellier,Ligue 1,2012-2013,5000000
Alexander Büttner,Man Utd,Premier League,2012-2013,5000000
Leandro Castán,AS Roma,Serie A,2012-2013,5000000
Daniel Carvajal,Bay. Leverkusen,Bundesliga,2012-2013,5000000
Naldo,VfL Wolfsburg,Bundesliga,2012-2013,4800000
Dante,Bayern Munich ,Bundesliga,2012-2013,4700000
Alfred N'Diaye,Sunderland,Premier League,2012-2013,4700000
Junior Fernandes,Bay. Leverkusen,Bundesliga,2012-2013,4700000
Federico Balzaretti,AS Roma,Serie A,2012-2013,4500000
Jonathan Biabiany,Parma,Serie A,2012-2013,4500000
Bryan Oviedo,Everton,Premier League,2012-2013,4500000
Steven Nzonzi,Stoke City,Premier League,2012-2013,4400000
Nenad Tomovic,Fiorentina,Serie A,2012-2013,4200000
Oussama Assaidi,Liverpool,Premier League,2012-2013,4000000
Ciro Immobile,Genoa,Serie A,2012-2013,4000000
Emmanuel Mayuka,Southampton,Premier League,2012-2013,4000000
Petr Jiracek,Hamburger SV,Bundesliga,2012-2013,4000000
Richmond Boakye,Juventus,Serie A,2012-2013,4000000
Chinedu Obasi,FC Schalke 04,Bundesliga,2012-2013,4000000
Benjamin Corgnet,FC Lorient,Ligue 1,2012-2013,4000000
Samba Diakité,QPR,Premier League,2012-2013,4000000
Romain Hamouma,Saint-Étienne,Ligue 1,2012-2013,4000000
Francesco Acerbi,AC Milan,Serie A,2012-2013,4000000
Milan Badelj,Hamburger SV,Bundesliga,2012-2013,4000000
Francesco Acerbi,Genoa,Serie A,2012-2013,4000000
David Abraham,TSG Hoffenheim,Bundesliga,2012-2013,4000000
Geoffrey Kondogbia,Sevilla FC,La Liga,2012-2013,4000000
Dorlan Pabón,Parma,Serie A,2012-2013,4000000
Sadio Diallo,Stade Rennais,Ligue 1,2012-2013,4000000
Gabriel Silva,Udinese Calcio,Serie A,2012-2013,4000000
Sadio Mané,RB Salzburg,Bundesliga,2012-2013,4000000
Arouna Koné,Wigan,Premier League,2012-2013,3800000
Ron Vlaar,Aston Villa,Premier League,2012-2013,3800000
Nicola Leali,Juventus,Serie A,2012-2013,3800000
Adrian Mariappa,Reading,Premier League,2012-2013,3800000
Jack Butland,Stoke City,Premier League,2012-2013,3800000
Alexis Rolín,Catania,Serie A,2012-2013,3800000
Maicon,Man City,Premier League,2012-2013,3750000
Junior Hoilett,QPR,Premier League,2012-2013,3750000
Michael Bradley,AS Roma,Serie A,2012-2013,3750000
Matthew Lowton,Aston Villa,Premier League,2012-2013,3750000
João Pereira,Valencia CF,La Liga,2012-2013,3700000
Ante Vukusic,Pescara,Serie A,2012-2013,3700000
Jonathas,Pescara,Serie A,2012-2013,3700000
Luís Neto,Siena,Serie A,2012-2013,3650000
Andrea Rossi,Parma,Serie A,2012-2013,3600000
Barreto,Torino,Serie A,2012-2013,3550000
Nigel de Jong,AC Milan,Serie A,2012-2013,3500000
Emiliano Insúa,Atlético Madrid,La Liga,2012-2013,3500000
Sokratis,Werder Bremen,Bundesliga,2012-2013,3500000
Diego López,Sevilla FC,La Liga,2012-2013,3500000
Fernando Gago,Valencia CF,La Liga,2012-2013,3500000
Anthony Mounier,Montpellier,Ligue 1,2012-2013,3500000
Artjoms Rudnevs,Hamburger SV,Bundesliga,2012-2013,3500000
Mattia Cassani,Fiorentina,Serie A,2012-2013,3500000
Marquinho,AS Roma,Serie A,2012-2013,3500000
Éder,Sampdoria,Serie A,2012-2013,3500000
Gareth Bale,Real Madrid,La Liga,2013-2014,101000000
Neymar,FC Barcelona,La Liga,2013-2014,88200000
Edinson Cavani,Paris SG,Ligue 1,2013-2014,64500000
Mesut Özil,Arsenal,Premier League,2013-2014,47000000
James Rodríguez,Monaco,Ligue 1,2013-2014,45000000
Juan Mata,Man Utd,Premier League,2013-2014,44730000
Falcao,Monaco,Ligue 1,2013-2014,43000000
Fernandinho,Man City,Premier League,2013-2014,40000000
Gonzalo Higuaín,SSC Napoli,Serie A,2013-2014,39000000
Mario Götze,Bayern Munich ,Bundesliga,2013-2014,37000000
Willian,Chelsea,Premier League,2013-2014,35500000
Marouane Fellaini,Man Utd,Premier League,2013-2014,32400000
Asier Illarramendi,Real Madrid,La Liga,2013-2014,32000000
Marquinhos,Paris SG,Ligue 1,2013-2014,31400000
Roberto Soldado,Spurs,Premier League,2013-2014,30000000
Isco,Real Madrid,La Liga,2013-2014,30000000
Érik Lamela,Spurs,Premier League,2013-2014,30000000
Henrikh Mkhitaryan,Bor. Dortmund,Bundesliga,2013-2014,27500000
Stevan Jovetic,Man City,Premier League,2013-2014,26000000
João Moutinho,Monaco,Ligue 1,2013-2014,25000000
Nemanja Matic,Chelsea,Premier League,2013-2014,25000000
Thiago,Bayern Munich ,Bundesliga,2013-2014,25000000
Álvaro Negredo,Man City,Premier League,2013-2014,25000000
Yohan Cabaye,Paris SG,Ligue 1,2013-2014,25000000
André Schürrle,Chelsea,Premier League,2013-2014,22000000
Kevin De Bruyne,VfL Wolfsburg,Bundesliga,2013-2014,22000000
Jesús Navas,Man City,Premier League,2013-2014,20000000
Juan Cuadrado,Fiorentina,Serie A,2013-2014,20000000
Geoffrey Kondogbia,Monaco,Ligue 1,2013-2014,20000000
Paulinho,Spurs,Premier League,2013-2014,19730000
Mamadou Sakho,Liverpool,Premier League,2013-2014,19000000
Hernanes,Inter,Serie A,2013-2014,18000000
Kevin Strootman,AS Roma,Serie A,2013-2014,17500000
Andy Carroll,West Ham,Premier League,2013-2014,17500000
Mohamed Salah,Chelsea,Premier League,2013-2014,16500000
Luiz Gustavo,VfL Wolfsburg,Bundesliga,2013-2014,16000000
Wilfried Bony,Swansea,Premier League,2013-2014,16000000
Mario Gómez,Fiorentina,Serie A,2013-2014,15500000
James McCarthy,Everton,Premier League,2013-2014,15300000
Konstantinos Mitroglou,Fulham,Premier League,2013-2014,15200000
Daniel Osvaldo,Southampton,Premier League,2013-2014,15100000
Angelo Ogbonna,Juventus,Serie A,2013-2014,15000000
Lucas Digne,Paris SG,Ligue 1,2013-2014,15000000
Kurt Zouma,Chelsea,Premier League,2013-2014,14600000
Victor Wanyama,Southampton,Premier League,2013-2014,14500000
Christian Eriksen,Spurs,Premier League,2013-2014,13500000
Medhi Benatia,AS Roma,Serie A,2013-2014,13500000
Pierre-Emerick Aubameyang,Bor. Dortmund,Bundesliga,2013-2014,13000000
Mauro Icardi,Inter,Serie A,2013-2014,13000000
Gary Medel,Cardiff,Premier League,2013-2014,13000000
Bojan Krkic,FC Barcelona,La Liga,2013-2014,13000000
Adem Ljajic,AS Roma,Serie A,2013-2014,12000000
Raúl Albiol,SSC Napoli,Serie A,2013-2014,12000000
Florian Thauvin,Marseille,Ligue 1,2013-2014,12000000
Manolo Gabbiadini,Sampdoria,Serie A,2013-2014,11500000
Étienne Capoue,Spurs,Premier League,2013-2014,11000000
Alessandro Matri,AC Milan,Serie A,2013-2014,11000000
Iago Aspas,Liverpool,Premier League,2013-2014,10800000
Simon Mignolet,Liverpool,Premier League,2013-2014,10600000
Lacina Traoré,Monaco,Ligue 1,2013-2014,10000000
Kevin-Prince Boateng,FC Schalke 04,Bundesliga,2013-2014,10000000
Heung-min Son,Bay. Leverkusen,Bundesliga,2013-2014,10000000
Ricky van Wolfswinkel,Norwich,Premier League,2013-2014,10000000
Carlos Bacca,Sevilla FC,La Liga,2013-2014,10000000
Dejan Lovren,Southampton,Premier League,2013-2014,10000000
Josuha Guilavogui,Atlético Madrid,La Liga,2013-2014,10000000
Jozy Altidore,Sunderland,Premier League,2013-2014,10000000
Simone Zaza,Sassuolo,Serie A,2013-2014,10000000
Sokratis,Bor. Dortmund,Bundesliga,2013-2014,9900000
Andrea Poli,AC Milan,Serie A,2013-2014,9700000
José Callejón,SSC Napoli,Serie A,2013-2014,9500000
Jorginho,SSC Napoli,Serie A,2013-2014,9500000
Vlad Chiriches,Spurs,Premier League,2013-2014,9500000
Dries Mertens,SSC Napoli,Serie A,2013-2014,9480000
Marco van Ginkel,Chelsea,Premier League,2013-2014,9400000
Steven Caulker,Cardiff,Premier League,2013-2014,9150000
Carlos Tévez,Juventus,Serie A,2013-2014,9000000
Josip Ilicic,Fiorentina,Serie A,2013-2014,9000000
Dimitri Payet,Marseille,Ligue 1,2013-2014,8700000
Andreas Cornelius,Cardiff,Premier League,2013-2014,8700000
Shane Long,Hull City,Premier League,2013-2014,8500000
Lucas Biglia,Lazio,Serie A,2013-2014,8400000
Antonio Candreva,Lazio,Serie A,2013-2014,8200000
Nacer Chadli,Spurs,Premier League,2013-2014,8150000
Beñat Etxebarria,Athletic Bilbao,La Liga,2013-2014,8000000
Gervinho,AS Roma,Serie A,2013-2014,8000000
Ádám Szalai,FC Schalke 04,Bundesliga,2013-2014,8000000
Dorlan Pabón,Valencia CF,La Liga,2013-2014,8000000
Luis Alberto,Liverpool,Premier League,2013-2014,8000000
Nikica Jelavic,Hull City,Premier League,2013-2014,7800000
Kévin Gameiro,Sevilla FC,La Liga,2013-2014,7500000
Emanuele Giaccherini,Sunderland,Premier League,2013-2014,7500000
Felipe Anderson,Lazio,Serie A,2013-2014,7500000
Saphir Taider,Inter,Serie A,2013-2014,7500000
Giannelli Imbula,Marseille,Ligue 1,2013-2014,7500000
Tiago Ilori,Liverpool,Premier League,2013-2014,7500000
Duván Zapata,SSC Napoli,Serie A,2013-2014,7470000
Toby Alderweireld,Atlético Madrid,La Liga,2013-2014,7000000
Stéphane Sessègnon,West Brom,Premier League,2013-2014,7000000
Leo Baptistão,Atlético Madrid,La Liga,2013-2014,7000000
Arouna Koné,Everton,Premier League,2013-2014,7000000
Daniel Carvajal,Real Madrid,La Liga,2013-2014,6500000
Libor Kozak,Aston Villa,Premier League,2013-2014,6500000
Gary Hooper,Norwich,Premier League,2013-2014,6300000
Giovani dos Santos,Villarreal CF,La Liga,2013-2014,6000000
Matías Silvestre,Inter,Serie A,2013-2014,6000000
Cristián Zapata,AC Milan,Serie A,2013-2014,6000000
Casemiro,Real Madrid,La Liga,2013-2014,6000000
Timm Klose,VfL Wolfsburg,Bundesliga,2013-2014,6000000
Roberto,Atlético Madrid,La Liga,2013-2014,6000000
Vicente Iborra,Sevilla FC,La Liga,2013-2014,6000000
Pedro León,Getafe CF,La Liga,2013-2014,6000000
Jonjo Shelvey,Swansea,Premier League,2013-2014,5900000
Victor Anichebe,West Brom,Premier League,2013-2014,5900000
Stewart Downing,West Ham,Premier League,2013-2014,5800000
Tom Huddlestone,Hull City,Premier League,2013-2014,5800000
Ishak Belfodil,Inter,Serie A,2013-2014,5750000
Antonio Sanabria,Sassuolo,Serie A,2013-2014,5700000
Maarten Stekelenburg,Fulham,Premier League,2013-2014,5600000
Leroy Fer,Norwich,Premier League,2013-2014,5500000
Dwight Gayle,Crystal Palace,Premier League,2013-2014,5300000
Jérémy Toulalan,Monaco,Ligue 1,2013-2014,5000000
Raffael,Bor. M'gladbach,Bundesliga,2013-2014,5000000
Franck Tabanou,Saint-Étienne,Ligue 1,2013-2014,5000000
Benjamin Corgnet,Saint-Étienne,Ligue 1,2013-2014,5000000
Rafael,SSC Napoli,Serie A,2013-2014,5000000
Tomás Pina,Villarreal CF,La Liga,2013-2014,5000000
Ja-cheol Koo,1.FSV Mainz 05,Bundesliga,2013-2014,5000000
Martín Demichelis,Man City,Premier League,2013-2014,5000000
Paul-Georges Ntep,Stade Rennais,Ligue 1,2013-2014,5000000
Faouzi Ghoulam,SSC Napoli,Serie A,2013-2014,5000000
Raman Chibsah,Sassuolo,Serie A,2013-2014,5000000
Emre Can,Bay. Leverkusen,Bundesliga,2013-2014,5000000
Tin Jedvaj,AS Roma,Serie A,2013-2014,5000000
Anthony Martial,Monaco,Ligue 1,2013-2014,5000000
Sime Vrsaljko,Genoa,Serie A,2013-2014,4880000
Riccardo Saponara,AC Milan,Serie A,2013-2014,4800000
Federico Peluso,Juventus,Serie A,2013-2014,4800000
Jores Okore,Aston Villa,Premier League,2013-2014,4700000
Mattia Destro,AS Roma,Serie A,2013-2014,4500000
Scott Parker,Fulham,Premier League,2013-2014,4500000
Mevlüt Erdinc,Saint-Étienne,Ligue 1,2013-2014,4500000
Domenico Berardi,Juventus,Serie A,2013-2014,4500000
Daniel Caligiuri,VfL Wolfsburg,Bundesliga,2013-2014,4500000
Luca Marrone,Sassuolo,Serie A,2013-2014,4500000
Ante Rebic,Fiorentina,Serie A,2013-2014,4500000
Luca Cigarini,Atalanta,Serie A,2013-2014,4200000
Pablo Armero,SSC Napoli,Serie A,2013-2014,4000000
Vladimír Darida,SC Freiburg,Bundesliga,2013-2014,4000000
Nicolas Isimat-Mirin,Monaco,Ligue 1,2013-2014,4000000
Kike Sola,Athletic Bilbao,La Liga,2013-2014,4000000
Giannis Fetfatzidis,Genoa,Serie A,2013-2014,4000000
Joel Robles,Everton,Premier League,2013-2014,4000000
Henrique,SSC Napoli,Serie A,2013-2014,4000000
Charles Aránguiz,Udinese Calcio,Serie A,2013-2014,4000000
Jasmin Kurtic,Sassuolo,Serie A,2013-2014,4000000
Benjamin Mendy,Marseille,Ligue 1,2013-2014,4000000
Nicolás López,Udinese Calcio,Serie A,2013-2014,4000000
Rodney Strasser,Genoa,Serie A,2013-2014,4000000
Luis Suárez,FC Barcelona,La Liga,2014-2015,81720000
James Rodríguez,Real Madrid,La Liga,2014-2015,75000000
Ángel Di María,Man Utd,Premier League,2014-2015,75000000
David Luiz,Paris SG,Ligue 1,2014-2015,49500000
Alexis Sánchez,Arsenal,Premier League,2014-2015,42500000
Diego Costa,Chelsea,Premier League,2014-2015,38000000
Luke Shaw,Man Utd,Premier League,2014-2015,37500000
Ander Herrera,Man Utd,Premier League,2014-2015,36000000
Romelu Lukaku,Everton,Premier League,2014-2015,35360000
Cesc Fàbregas,Chelsea,Premier League,2014-2015,33000000
Wilfried Bony,Man City,Premier League,2014-2015,32300000
André Schürrle,VfL Wolfsburg,Bundesliga,2014-2015,32000000
Juan Cuadrado,Chelsea,Premier League,2014-2015,31000000
Adam Lallana,Liverpool,Premier League,2014-2015,31000000
Eliaquim Mangala,Man City,Premier League,2014-2015,30500000
Antoine Griezmann,Atlético Madrid,La Liga,2014-2015,30000000
Medhi Benatia,Bayern Munich ,Bundesliga,2014-2015,28000000
Dejan Lovren,Liverpool,Premier League,2014-2015,25300000
Toni Kroos,Real Madrid,La Liga,2014-2015,25000000
Enzo Pérez,Valencia CF,La Liga,2014-2015,25000000
Lazar Markovic,Liverpool,Premier League,2014-2015,25000000
Juan Iturbe,AS Roma,Serie A,2014-2015,24500000
Sadio Mané,Southampton,Premier League,2014-2015,23000000
Mario Mandzukic,Atlético Madrid,La Liga,2014-2015,22000000
Calum Chambers,Arsenal,Premier League,2014-2015,20230000
Mario Balotelli,Liverpool,Premier League,2014-2015,20000000
Danny Welbeck,Arsenal,Premier League,2014-2015,20000000
Filipe Luís,Chelsea,Premier League,2014-2015,20000000
Jérémy Mathieu,FC Barcelona,La Liga,2014-2015,20000000
Marcos Rojo,Man Utd,Premier League,2014-2015,20000000
Álvaro Morata,Juventus,Serie A,2014-2015,20000000
Thomas Vermaelen,FC Barcelona,La Liga,2014-2015,19000000
Ciro Immobile,Bor. Dortmund,Bundesliga,2014-2015,18500000
Ivan Rakitic,FC Barcelona,La Liga,2014-2015,18000000
Alberto Moreno,Liverpool,Premier League,2014-2015,18000000
Daley Blind,Man Utd,Premier League,2014-2015,17500000
Jan Oblak,Atlético Madrid,La Liga,2014-2015,16000000
Bernardo Silva,Monaco,Ligue 1,2014-2015,15750000
Juan Iturbe,Hellas Verona,Serie A,2014-2015,15000000
Alessio Cerci,Atlético Madrid,La Liga,2014-2015,15000000
Radja Nainggolan,AS Roma,Serie A,2014-2015,15000000
Fernando,Man City,Premier League,2014-2015,15000000
Mathieu Debuchy,Arsenal,Premier League,2014-2015,15000000
Gabriel Paulista,Arsenal,Premier League,2014-2015,15000000
Enner Valencia,West Ham,Premier League,2014-2015,15000000
Shane Long,Southampton,Premier League,2014-2015,14900000
Hakan Calhanoglu,Bay. Leverkusen,Bundesliga,2014-2015,14500000
Seydou Doumbia,AS Roma,Serie A,2014-2015,14400000
Dusan Tadic,Southampton,Premier League,2014-2015,14000000
Ryan Bertrand,Southampton,Premier League,2014-2015,13340000
Loïc Rémy,Chelsea,Premier League,2014-2015,13200000
Lucas Silva,Real Madrid,La Liga,2014-2015,13000000
Aymen Abdennour,Monaco,Ligue 1,2014-2015,13000000
Konstantinos Manolas,AS Roma,Serie A,2014-2015,13000000
Ben Davies,Spurs,Premier League,2014-2015,12650000
Brown Ideye,West Brom,Premier League,2014-2015,12630000
Divock Origi,Liverpool,Premier League,2014-2015,12630000
Jack Rodwell,Sunderland,Premier League,2014-2015,12600000
Manolo Gabbiadini,SSC Napoli,Serie A,2014-2015,12500000
Fraser Forster,Southampton,Premier League,2014-2015,12500000
Marc-André ter Stegen,FC Barcelona,La Liga,2014-2015,12000000
Nicolás Otamendi,Valencia CF,La Liga,2014-2015,12000000
Kevin Kampl,Bor. Dortmund,Bundesliga,2014-2015,12000000
Emre Can,Liverpool,Premier League,2014-2015,12000000
Abel Hernández,Hull City,Premier League,2014-2015,12000000
Claudio Bravo,FC Barcelona,La Liga,2014-2015,12000000
Graziano Pellè,Southampton,Premier League,2014-2015,11000000
Steven Caulker,QPR,Premier League,2014-2015,10750000
Raúl Jiménez,Atlético Madrid,La Liga,2014-2015,10500000
Gylfi Sigurdsson,Swansea,Premier League,2014-2015,10100000
Leonardo Ulloa,Leicester,Premier League,2014-2015,10100000
Matthias Ginter,Bor. Dortmund,Bundesliga,2014-2015,10000000
Rémy Cabella,Newcastle,Premier League,2014-2015,10000000
Keylor Navas,Real Madrid,La Liga,2014-2015,10000000
Leroy Fer,QPR,Premier League,2014-2015,10000000
Guilherme Siqueira,Atlético Madrid,La Liga,2014-2015,10000000
Federico Fazio,Spurs,Premier League,2014-2015,10000000
Federico Fernández,Swansea,Premier League,2014-2015,10000000
Juan Bernat,Bayern Munich ,Bundesliga,2014-2015,10000000
Adrián Ramos,Bor. Dortmund,Bundesliga,2014-2015,9700000
Stefano Sturaro,Juventus,Serie A,2014-2015,9600000
Xabi Alonso,Bayern Munich ,Bundesliga,2014-2015,9000000
Yann Sommer,Bor. M'gladbach,Bundesliga,2014-2015,9000000
Andrej Kramaric,Leicester,Premier League,2014-2015,9000000
James McArthur,Crystal Palace,Premier League,2014-2015,8800000
Siem de Jong,Newcastle,Premier League,2014-2015,8700000
Pierre-Michel Lasogga,Hamburger SV,Bundesliga,2014-2015,8500000
Joaquín Correa,Sampdoria,Serie A,2014-2015,8400000
Ciro Immobile,Torino,Serie A,2014-2015,8000000
Shinji Kagawa,Bor. Dortmund,Bundesliga,2014-2015,8000000
Gary Medel,Inter,Serie A,2014-2015,8000000
Alfred Finnbogason,Real Sociedad,La Liga,2014-2015,8000000
Shkodran Mustafi,Valencia CF,La Liga,2014-2015,8000000
Willy Caballero,Man City,Premier League,2014-2015,8000000
Tiemoué Bakayoko,Monaco,Ligue 1,2014-2015,8000000
Kalidou Koulibaly,SSC Napoli,Serie A,2014-2015,7750000
Jordon Mutch,QPR,Premier League,2014-2015,7570000
Sandro,QPR,Premier League,2014-2015,7500000
Cheikhou Kouyaté,West Ham,Premier League,2014-2015,7500000
